id,附加费,币种,20底,40底,40HQ底,单票,付款方式
198493,DOC,CNY,,,,450.0,PREPAID
198493,SEAL,CNY,45,45,45,,PREPAID
198493,ISPS,USD,10,10,10,,PREPAID
198493,EIR,CNY,40,40,40,,PREPAID
198493,TLX,CNY,,,,450.0,PREPAID
198493,LSS,USD,25,50,50,,PREPAID
198493,THC,CNY,599,950,950,,PREPAID
198492,DOC,CNY,,,,450.0,PREPAID
198492,SEAL,CNY,45,45,45,,PREPAID
198492,ISPS,USD,10,10,10,,PREPAID
198492,TLX,CNY,,,,450.0,PREPAID
198492,EIR,CNY,40,40,40,,PREPAID
198492,LSS,USD,25,50,50,,PREPAID
198492,THC,CNY,599,950,950,,PREPAID
198491,THC,CNY,599,950,950,,PREPAID
198491,DOC,CNY,,,,450.0,PREPAID
198491,ISPS,USD,10,10,10,,PREPAID
198491,SEAL,CNY,45,45,45,,PREPAID
198491,EIR,CNY,40,40,40,,PREPAID
198491,TLX,CNY,,,,450.0,PREPAID
198491,LSS,USD,25,50,50,,PREPAID
13134,THC,CNY,599,950,950,,PREPAID
13134,DOC,CNY,,,,450.0,PREPAID
198490,THC,CNY,599,950,950,,PREPAID
13134,ISPS,USD,10,10,10,,PREPAID
13134,SEAL,CNY,45,45,45,,PREPAID
198490,DOC,CNY,,,,450.0,PREPAID
13134,EIR,CNY,40,40,40,,PREPAID
198490,ISPS,USD,10,10,10,,PREPAID
13134,TLX,CNY,,,,450.0,PREPAID
198490,SEAL,CNY,45,45,45,,PREPAID
198490,EIR,CNY,40,40,40,,PREPAID
13134,LSS,USD,25,50,50,,PREPAID
198490,TLX,CNY,,,,450.0,PREPAID
198490,LSS,USD,25,50,50,,PREPAID
13618,DOC,CNY,,,,450.0,PREPAID
13036,THC,CNY,599,950,950,,PREPAID
13618,SEAL,CNY,45,45,45,,PREPAID
13036,DOC,CNY,,,,450.0,PREPAID
13618,ISPS,USD,10,10,10,,PREPAID
13036,ISPS,USD,10,10,10,,PREPAID
13618,EIR,CNY,40,40,40,,PREPAID
13036,SEAL,CNY,45,45,45,,PREPAID
13618,TLX,CNY,,,,450.0,PREPAID
13036,EIR,CNY,40,40,40,,PREPAID
13618,LSS,USD,25,50,50,,PREPAID
13036,TLX,CNY,,,,450.0,PREPAID
13618,THC,CNY,599,950,950,,PREPAID
13036,LSS,USD,25,50,50,,PREPAID
13619,DOC,CNY,,,,450.0,PREPAID
13508,DOC,CNY,,,,450.0,PREPAID
