id,附加费,币种,20底,40底,40HQ底,单票,付款方式
201098,EIR,CNY,40,40,40,,PREPAID
201088,SEAL,CNY,30,30,30,,PREPAID
201098,AFR,USD,30,30,30,,PREPAID
201088,EIR,CNY,40,40,40,,PREPAID
201078,EIR,CNY,40,40,40,,PREPAID
201068,PTS,CNY,330,467,467,,PREPAID
201098,LSS,USD,15,30,30,,PREPAID
201088,PTS,CNY,330,467,467,,PREPAID
201068,AFR,USD,30,30,30,,PREPAID
201078,AFR,USD,30,30,30,,PREPAID
201068,LSS,USD,15,30,30,,PREPAID
201078,LSS,USD,15,30,30,,PREPAID
201077,THC,CNY,646,997,997,,PREPAID
201067,THC,CNY,646,997,997,,PREPAID
201087,THC,CNY,646,997,997,,PREPAID
201077,TLX,CNY,,,,450.0,PREPAID
201087,TLX,CNY,,,,450.0,PREPAID
201077,DOC,CNY,,,,500.0,PREPAID
201087,DOC,CNY,,,,500.0,PREPAID
201077,SEAL,CNY,30,30,30,,PREPAID
201087,SEAL,CNY,30,30,30,,PREPAID
201077,EIR,CNY,40,40,40,,PREPAID
201067,EIR,CNY,40,40,40,,PREPAID
201087,EIR,CNY,40,40,40,,PREPAID
201077,AFR,USD,30,30,30,,PREPAID
201087,PTS,CNY,330,467,467,,PREPAID
201067,PTS,CNY,330,467,467,,PREPAID
201077,LSS,USD,15,30,30,,PREPAID
201067,AFR,USD,30,30,30,,PREPAID
201087,LSS,USD,15,30,30,,PREPAID
201067,LSS,USD,15,30,30,,PREPAID
201073,THC,CNY,646,997,997,,PREPAID
201073,TLX,CNY,,,,450.0,PREPAID
201073,DOC,CNY,,,,500.0,PREPAID
201086,THC,CNY,646,997,997,,PREPAID
201073,SEAL,CNY,30,30,30,,PREPAID
201086,TLX,CNY,,,,450.0,PREPAID
201066,THC,CNY,646,997,997,,PREPAID
201073,EIR,CNY,40,40,40,,PREPAID
201066,TLX,CNY,,,,450.0,PREPAID
201073,AFR,USD,30,30,30,,PREPAID
201086,SEAL,CNY,30,30,30,,PREPAID
201073,LSS,USD,15,30,30,,PREPAID
201066,SEAL,CNY,30,30,30,,PREPAID
201086,EIR,CNY,40,40,40,,PREPAID
201066,EIR,CNY,40,40,40,,PREPAID
201086,PTS,CNY,330,467,467,,PREPAID
201066,PTS,CNY,330,467,467,,PREPAID
201086,AFR,USD,30,30,30,,PREPAID
201066,AFR,USD,30,30,30,,PREPAID
201086,LSS,USD,15,30,30,,PREPAID
201066,LSS,USD,15,30,30,,PREPAID
201072,THC,CNY,646,997,997,,PREPAID
201072,TLX,CNY,,,,450.0,PREPAID
201072,DOC,CNY,,,,500.0,PREPAID
201052,THC,CNY,646,997,997,,PREPAID
201072,SEAL,CNY,30,30,30,,PREPAID
201085,THC,CNY,646,997,997,,PREPAID
201062,THC,CNY,646,997,997,,PREPAID
201085,TLX,CNY,,,,450.0,PREPAID
201062,TLX,CNY,,,,450.0,PREPAID
201052,SEAL,CNY,30,30,30,,PREPAID
201085,DOC,CNY,,,,500.0,PREPAID
201062,DOC,CNY,,,,500.0,PREPAID
201052,EIR,CNY,40,40,40,,PREPAID
201072,AFR,USD,30,30,30,,PREPAID
201085,SEAL,CNY,30,30,30,,PREPAID
201072,LSS,USD,15,30,30,,PREPAID
201062,SEAL,CNY,30,30,30,,PREPAID
201052,PTS,CNY,330,467,467,,PREPAID
201062,EIR,CNY,40,40,40,,PREPAID
201085,EIR,CNY,40,40,40,,PREPAID
201062,AFR,USD,30,30,30,,PREPAID
201085,PTS,CNY,330,467,467,,PREPAID
201062,LSS,USD,15,30,30,,PREPAID
201052,AFR,USD,30,30,30,,PREPAID
201071,THC,CNY,646,997,997,,PREPAID
201052,LSS,USD,15,30,30,,PREPAID
201085,LSS,USD,15,30,30,,PREPAID
201071,TLX,CNY,,,,450.0,PREPAID
201071,DOC,CNY,,,,500.0,PREPAID
201061,THC,CNY,646,997,997,,PREPAID
201051,THC,CNY,646,997,997,,PREPAID
201061,TLX,CNY,,,,450.0,PREPAID
201051,TLX,CNY,,,,450.0,PREPAID
201061,DOC,CNY,,,,500.0,PREPAID
201051,DOC,CNY,,,,500.0,PREPAID

201061,SEAL,CNY,30,30,30,,PREPAID
201071,PTS,CNY,64,96,96,,PREPAID

201061,EIR,CNY,40,40,40,,PREPAID
201051,EIR,CNY,40,40,40,,PREPAID
201061,AFR,USD,30,30,30,,PREPAID
201071,LSS,USD,15,30,30,,PREPAID
201061,LSS,USD,15,30,30,,PREPAID
201051,PTS,CNY,330,467,467,,PREPAID
201051,AFR,USD,30,30,30,,PREPAID
201051,LSS,USD,15,30,30,,PREPAID
201070,THC,CNY,646,997,997,,PREPAID
201070,TLX,CNY,,,,450.0,PREPAID
201060,THC,CNY,646,997,997,,PREPAID
201070,DOC,CNY,,,,500.0,PREPAID
201060,TLX,CNY,,,,450.0,PREPAID
201070,SEAL,CNY,30,30,30,,PREPAID
201060,DOC,CNY,,,,500.0,PREPAID
201070,EIR,CNY,40,40,40,,PREPAID
201060,SEAL,CNY,30,30,30,,PREPAID
201050,SEAL,CNY,30,30,30,,PREPAID
201070,PTS,CNY,330,467,467,,PREPAID
201060,EIR,CNY,40,40,40,,PREPAID
201070,AFR,USD,30,30,30,,PREPAID
201050,PTS,CNY,330,467,467,,PREPAID
201070,LSS,USD,15,30,30,,PREPAID
201060,LSS,USD,15,30,30,,PREPAID
201050,LSS,USD,15,30,30,,PREPAID
201069,THC,CNY,646,997,997,,PREPAID
201059,THC,CNY,646,997,997,,PREPAID
201069,TLX,CNY,,,,450.0,PREPAID
ID
201059,TLX,CNY,,,,450.0,PREPAID
201049,TLX,CNY,,,,450.0,PREPAID
201059,DOC,CNY,,,,500.0,PREPAID
201049,DOC,CNY,,,,500.0,PREPAID
201059,SEAL,CNY,30,30,30,,PREPAID
201069,SEAL,CNY,30,30,30,,PREPAID
201059,EIR,CNY,40,40,40,,PREPAID
201069,EIR,CNY,40,40,40,,PREPAID
201059,AFR,USD,30,30,30,,PREPAID
201049,PTS,CNY,330,467,467,,PREPAID
201069,PTS,CNY,330,467,467,,PREPAID
201059,LSS,USD,15,30,30,,PREPAID
201049,AFR,USD,30,30,30,,PREPAID
201049,LSS,USD,15,30,30,,PREPAID
201069,LSS,USD,15,30,30,,PREPAID
201055,THC,CNY,646,997,997,,PREPAID
201055,TLX,CNY,,,,450.0,PREPAID
201048,THC,CNY,646,997,997,,PREPAID
201055,DOC,CNY,,,,500.0,PREPAID
201055,SEAL,CNY,30,30,30,,PREPAID
201048,TLX,CNY,,,,450.0,PREPAID
201055,EIR,CNY,40,40,40,,PREPAID
201048,DOC,CNY,,,,500.0,PREPAID
201055,AFR,USD,30,30,30,,PREPAID
201048,SEAL,CNY,30,30,30,,PREPAID
201055,LSS,USD,15,30,30,,PREPAID
201048,EIR,CNY,40,40,40,,PREPAID
201048,PTS,CNY,330,467,467,,PREPAID
201048,AFR,USD,30,30,30,,PREPAID
201054,THC,CNY,646,997,997,,PREPAID
201048,LSS,USD,15,30,30,,PREPAID
201054,TLX,CNY,,,,450.0,PREPAID
201054,DOC,CNY,,,,500.0,PREPAID
201054,SEAL,CNY,30,30,30,,PREPAID
201054,EIR,CNY,40,40,40,,PREPAID
201054,AFR,USD,30,30,30,,PREPAID
201054,LSS,USD,15,30,30,,PREPAID
201053,THC,CNY,646,997,997,,PREPAID
201053,TLX,CNY,,,,450.0,PREPAID
201053,DOC,CNY,,,,500.0,PREPAID
201053,SEAL,CNY,30,30,30,,PREPAID
201040,THC,CNY,646,997,997,,PREPAID
201053,EIR,CNY,40,40,40,,PREPAID
201040,TLX,CNY,,,,450.0,PREPAID
201053,PTS,CNY,64,96,96,,PREPAID
201040,DOC,CNY,,,,500.0,PREPAID
201053,AFR,USD,30,30,30,,PREPAID
201040,SEAL,CNY,30,30,30,,PREPAID
201053,LSS,USD,15,30,30,,PREPAID
201040,EIR,CNY,40,40,40,,PREPAID
201040,AFR,USD,30,30,30,,PREPAID
201040,LSS,USD,15,30,30,,PREPAID
201039,THC,CNY,646,997,997,,PREPAID
201039,TLX,CNY,,,,450.0,PREPAID
201039,DOC,CNY,,,,500.0,PREPAID
201039,SEAL,CNY,30,30,30,,PREPAID
201039,EIR,CNY,40,40,40,,PREPAID
201039,AFR,USD,30,30,30,,PREPAID
201039,LSS,USD,15,30,30,,PREPAID
201038,THC,CNY,646,997,997,,PREPAID
201038,TLX,CNY,,,,450.0,PREPAID
201038,DOC,CNY,,,,500.0,PREPAID
201038,SEAL,CNY,30,30,30,,PREPAID
201038,EIR,CNY,40,40,40,,PREPAID
201038,AFR,USD,30,30,30,,PREPAID
201038,LSS,USD,15,30,30,,PREPAID
201037,THC,CNY,646,997,997,,PREPAID
201037,TLX,CNY,,,,450.0,PREPAID
201037,DOC,CNY,,,,500.0,PREPAID
201037,SEAL,CNY,30,30,30,,PREPAID
201037,EIR,CNY,40,40,40,,PREPAID
201037,AFR,USD,30,30,30,,PREPAID
201037,LSS,USD,15,30,30,,PREPAID
201033,THC,CNY,646,997,997,,PREPAID
