id,起运港,目的港,船公司,目的港挂靠,航线代码,LINE,航程,船期,中转港,港区,20底,40底,40HQ底,起始日期,结束日期,供应商,备注,备注1,备注2
199349,XIAMEN,"Baltimore,MD",MSK,SEAGIRT,USEC,TP12,34,5/7,,HAIRUN,1862,2335,2335,2019-08-22,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200246,XIAMEN,"Baltimore,MD",COSCON,Seagirt,USEC,AWE3,35,3/5,,YUANHAI,2030,2520,2520,2019-08-20,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
219520,XIAMEN,"Baltimore,MD",HSD,SEAGIRT,USEC,ASUS SLING 2,34,5/7,,SONGYU,2593,2607,2607,2019-08-13,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201699,XIAMEN,"Baltimore,MD",APL,Seagirt,USEC,AW5,35,2/5,,YUANHAI,2100,2610,2610,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200280,XIAMEN,"Baltimore,MD",COSCON,FAIRVIEW,USIPI,CPNW,29,4/5,"Prince Rupert,BC",YUANHAI,3910,4620,4620,2019-08-20,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200041,XIAMEN,"Calgary,AB",APL,VANTERM,CAIPI,WAX,25,2/4,"Vancouver,BC",YUANHAI,2010,2490,2490,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200284,XIAMEN,"Atlanta,GA",COSCON,GOERGIA,USRIPI,AWE3,42,3/5,"Savannah,GA",YUANHAI,2530,3170,3170,2019-08-20,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200325,XIAMEN,"Atlanta,GA",COSCON,GOERGIA,USRIPI,AWE4,43,6/1,"Savannah,GA",YUANHAI,2530,3170,3170,2019-08-20,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
201133,XIAMEN,"Atlanta,GA",COSCON,VIG,USRIPI,AWE3,44,3/5,"Norfolk,VA",YUANHAI,2530,3170,3170,2019-08-20,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
200025,XIAMEN,"Atlanta,GA",APL,Goergia,USRIPI,AW2,38,6/1,"Savannah,GA",YUANHAI,2610,3230,3230,2019-08-07,2019-08-31,顺圆,Subject to AMS & D/O Fee.,,
